Source,Target,weight
7481,7476,280.8
7481,7477,128.0
7481,7478,280.8
7481,7479,40.0
7481,7480,120.0
7481,8193,360.0
7482,7370,160.0
7482,7445,160.0
7482,7461,240.0
7482,7474,120.0
7482,7481,280.8
7484,7434,120.0
7484,7474,120.0
7484,7481,136.8
7485,7471,120.0
7485,7481,249.33334
7485,7488,120.0
7486,7461,120.0
7486,7474,120.0
7486,7481,275.0
7486,7484,120.0
7487,7473,120.0
7487,7495,120.0
7489,7481,40.0
7490,7481,120.0
7491,7352,160.0
7491,7355,160.0
7491,7382,160.0
7491,7408,160.0
7491,7437,160.0
7491,7445,160.0
7491,7454,160.0
7492,7481,309.3333
7493,7474,120.0
7494,7481,120.0
7494,7486,120.0
7495,7472,120.0
7495,7473,120.0
7495,7481,120.0
7496,7419,160.0
7496,7470,120.0
7496,7471,497.33334
7496,7473,238.0
7496,7474,120.0
7496,7478,120.0
7496,7481,408.8
7496,7483,120.0
7496,7485,120.0
7496,7488,120.0
7496,7492,160.0
7497,7412,160.0
7497,7419,160.0
7497,7445,160.0
7497,7448,240.0
7497,7461,240.0
7497,7474,280.0
7498,7180,200.0
7498,7355,160.0
7498,7382,240.0
7498,7419,160.0
7498,7448,240.0
7498,7461,520.0
7498,7469,108.0
7498,7472,120.0
7498,7473,238.0
7498,7474,478.0
7498,7476,120.0
7498,7478,280.0
7498,7481,280.8
7498,7484,120.0
7498,7487,120.0
7498,7495,120.0
7498,7496,280.0
7498,7497,400.0
7499,7180,200.0
7499,7355,160.0
7499,7358,246.0
7499,7408,160.0
7499,7419,160.0
7499,7421,384.8
7499,7428,360.0
7499,7434,358.0
7499,7437,144.0
7499,7448,248.0
7499,7460,120.0
7499,7461,141.42857
7499,7466,124.0
7499,7467,120.0
7499,7474,588.0
7499,7476,120.0
7499,7478,120.0
7499,7480,120.0
7499,7481,412.8
7499,7484,240.0
7499,7494,120.0
7499,7496,142.66667
7499,7497,240.0
7499,7498,132.0
7500,7351,120.0
7500,7358,312.0
7500,7361,150.0
7500,7363,240.0
7500,7368,120.0
7500,7374,150.0
7500,7376,150.0
7500,7384,120.0
7500,7401,150.0
7500,7406,160.0
7500,7408,160.0
7500,7411,160.0
7500,7412,150.0
7500,7413,150.0
7500,7425,160.0
7500,7436,150.0
7500,7437,160.0
7500,7445,160.0
7500,7448,120.0
7500,7450,150.0
7500,7453,160.0
7500,7454,160.0
7500,7461,241.33334
7500,7469,150.0
7500,7474,150.0
7500,7476,150.0
7500,7481,282.6667
7500,7482,150.0
7500,7491,160.0
7500,7497,150.0
7500,7498,150.0
7500,7499,150.0
7501,7352,160.0
7501,7358,284.0
7501,7363,262.66666
7501,7367,120.0
7501,7368,124.0
7501,7376,160.0
7501,7384,174.66667
7501,7403,124.0
7501,7406,160.0
7501,7408,160.0
7501,7411,124.0
7501,7412,284.0
7501,7419,137.0
7501,7422,124.0
7501,7425,160.0
7501,7428,128.0
7501,7430,160.0
7501,7437,297.0
7501,7445,160.0
7501,7448,120.0
7501,7450,160.0
7501,7454,160.0
7501,7457,160.0
7501,7461,160.0
7501,7474,160.0
7501,7481,160.0
7501,7491,160.0
7501,7498,160.0
7501,7499,160.0
7501,7500,120.0
7502,7358,237.33333
7502,7361,150.0
7502,7362,120.0
7502,7371,150.0
7502,7376,150.0
7502,7406,160.0
7502,7413,150.0
7502,7445,160.0
7502,7450,150.0
7502,7454,160.0
7502,7474,150.0
7502,7497,150.0
7502,7499,150.0
7503,7358,240.0
7503,7362,120.0
7503,7363,240.0
7503,7411,160.0
7503,7412,160.0
7503,7413,150.0
7503,7437,160.0
7503,7445,160.0
7503,7454,160.0
7503,7461,120.0
7503,7491,160.0
7503,7497,150.0
7504,7358,120.0
7504,7408,160.0
7504,7411,160.0
7504,7413,160.0
7504,7430,160.0
7504,7445,160.0
7504,7454,160.0
7504,7491,160.0
7505,7412,160.0
7505,7445,160.0
7505,7454,160.0
7505,7481,128.0
7505,7497,150.0
7505,7499,150.0
7506,7292,706.0
7506,7351,128.66667
7506,7352,150.0
7506,7358,442.6667
7506,7360,240.0
7506,7361,120.0
7506,7362,360.0
7506,7363,240.0
7506,7368,122.0
7506,7382,120.0
7506,7384,240.0
7506,7412,150.0
7506,7413,150.0
7506,7421,729.0
7506,7436,150.0
7506,7448,248.0
7506,7450,150.0
7506,7454,150.0
7506,7461,362.0
7506,7481,144.0
7506,7497,150.0
7506,7499,160.0
7506,7500,120.0
7506,7501,120.0
